"","mRFEI","id","year","radius"
"1","12.9143",6,2011,500
"2","5.076081",16,2011,500
"3","16.64832",2,2011,500
"4","2.727642",3,2011,500
"5","1.877324",4,2011,500
"6","13.99567",7,2011,500
"7","3.799553",8,2011,500
"8","21.1941",9,2011,500
"9","1.397688",10,2011,500
"10","12.45116",11,2011,500
"11","13.63636",12,2011,500
"12","17.97466",13,2011,500
"13","16.41109",14,2011,500
"14","22.79412",15,2011,500
"15","14.43139",17,2011,500
"16","4.792434",18,2011,500
"17","3.347697",19,2011,500
"18","29.72497",20,2011,500
"19","15.35605",21,2011,500
"20","6.230843",22,2011,500
"21","15.1935",23,2011,500
"22","13.48129",24,2011,500
"23","0.9257031",26,2011,500
"24","11.01584",27,2011,500
"25","14.07617",28,2011,500
"26","16.06269",29,2011,500
"27","12.43541",6,2011,2000
"28","7.493574",16,2011,2000
"29","16.89339",2,2011,2000
"30","10.61765",3,2011,2000
"31","10.74104",4,2011,2000
"32","15.89123",7,2011,2000
"33","3.196886",8,2011,2000
"34","15.18959",9,2011,2000
"35","12.45172",10,2011,2000
"36","12.38736",11,2011,2000
"37","11.39064",12,2011,2000
"38","15.88337",13,2011,2000
"39","12.39337",14,2011,2000
"40","18.94675",15,2011,2000
"41","11.63503",17,2011,2000
"42","3.88739",18,2011,2000
"43","9.720936",19,2011,2000
"44","22.22775",20,2011,2000
"45","14.12417",21,2011,2000
"46","12.53476",22,2011,2000
"47","10.86471",23,2011,2000
"48","9.720871",24,2011,2000
"49","9.490411",26,2011,2000
"50","9.341681",27,2011,2000
"51","14.82947",28,2011,2000
"52","13.89389",29,2011,2000
