"","id","rating","distance_old_new","geocode_notes"
"1",6,NA,329.33,"manually updated lat/long on the map"
"2",25,NA,NA,NA
"3",16,NA,NA,NA
"4",2,NA,NA,NA
"5",3,NA,NA,NA
"6",4,NA,NA,NA
"7",7,NA,NA,NA
"8",8,NA,NA,NA
"9",9,NA,NA,NA
"10",10,NA,NA,NA
"11",11,NA,NA,NA
"12",12,NA,NA,NA
"13",13,NA,NA,NA
"14",14,NA,NA,NA
"15",15,NA,NA,NA
"16",17,NA,NA,NA
"17",18,NA,NA,NA
"18",19,NA,NA,NA
"19",20,NA,NA,NA
"20",21,NA,NA,NA
"21",22,NA,NA,NA
"22",23,NA,NA,NA
"23",24,NA,NA,NA
"24",26,NA,NA,NA
"25",27,NA,NA,NA
"26",28,NA,NA,NA
"27",29,NA,NA,NA
